iter	Passed	Remaining
770	3217	955
771	3220	951
772	3222	946
773	3226	941
774	3231	938
775	3233	933
776	3236	928
777	3239	924
778	3242	919
779	3247	915
780	3250	911
781	3253	907
782	3256	902
783	3261	898
784	3264	894
785	3267	889
786	3270	885
787	3274	881
788	3277	876
789	3279	871
790	3283	867
791	3286	863
792	3290	858
793	3292	854
794	3295	849
795	3298	845
796	3300	840
797	3305	836
798	3308	832
799	3311	827
800	3313	823
801	3318	819
802	3321	814
803	3324	810
804	3326	805
805	3329	801
806	3332	797
807	3336	792
808	3338	788
809	3341	783
810	3344	779
811	3349	775
812	3351	770
813	3354	766
814	3357	762
815	3359	757
816	3363	753
817	3365	748
818	3368	744
819	3371	739
820	3374	735
821	3378	731
822	3380	727
823	3383	722
824	3385	718
825	3389	713
826	3409	713
827	3411	708
828	3414	704
829	3416	699
830	3419	695
831	3422	691
832	3425	686
833	3428	682
834	3431	678
835	3434	673
836	3437	669
837	3440	665
838	3443	660
839	3446	656
840	3451	652
841	3454	648
842	3457	643
843	3460	639
844	3464	635
845	3467	631
846	3470	626
847	3472	622
848	3475	618
849	3479	613
850	3481	609
851	3485	605
852	3487	601
853	3490	596
854	3494	592
855	3496	588
856	3500	584
857	3502	579
858	3506	575
859	3509	571
860	3512	566
861	3514	562
862	3517	558
863	3522	554
864	3525	550
865	3528	545
866	3530	541
867	3533	537
868	3537	533
869	3540	528
870	3543	524
871	3545	520
872	3548	516
873	3552	512
874	3556	508
875	3558	503
876	3561	499
877	3565	495
878	3568	491
879	3571	486
880	3573	482
881	3576	478
882	3581	474
883	3583	470
884	3587	466
885	3589	461
886	3593	457
887	3596	453
888	3599	449
889	3602	445
890	3608	441
891	3613	437
892	3615	433
893	3618	429
894	3624	425
895	3627	421
896	3630	416
897	3632	412
898	3638	408
899	3642	404
900	3645	400
901	3648	396
902	3653	392
903	3657	388
904	3661	384
905	3665	380
906	3669	376
907	3673	372
908	3676	368
909	3681	364
910	3684	359
911	3687	355
912	3689	351
913	3692	347
914	3696	343
915	3699	339
916	3702	335
917	3704	330
918	3708	326
919	3711	322
920	3714	318
921	3717	314
922	3720	310
923	3725	306
924	3728	302
925	3731	298
926	3734	294
927	3738	290
928	3741	285
929	3744	281
930	3746	277
931	3750	273
932	3755	269
933	3758	265
934	3762	261
935	3764	257
936	3768	253
937	3771	249
938	3774	245
939	3777	241
940	3780	237
941	3784	232
942	3786	228
943	3789	224
944	3791	220
945	3796	216
946	3799	212
947	3801	208
948	3804	204
949	3806	200
950	3810	196
951	3813	192
952	3816	188
953	3819	184
954	3821	180
955	3828	176
956	3830	172
957	3833	168
958	3836	164
959	3840	160
960	3843	155
961	3846	151
962	3848	147
963	3852	143
964	3856	139
965	3858	135
966	3861	131
967	3865	127
968	3869	123
969	3872	119
970	3875	115
971	3878	111
972	3883	107
973	3886	103
974	3889	99
975	3892	95
976	3895	91
977	3899	87
978	3901	83
979	3904	79
980	3907	75
981	3912	71
982	3915	67
983	3918	63
984	3921	59
985	3923	55
986	3927	51
987	3930	47
988	3933	43
989	3936	39
990	3941	35
991	3943	31
992	3946	27
993	3949	23
994	3952	19
995	3957	15
996	3960	11
997	3962	7
998	3965	3
999	3970	0
